movie_id,genre_id
1007757,16
1007757,10751
1007757,12
1007757,18
1007757,14
1226863,10751
1226863,35
1226863,12
1226863,14
1226863,16
687163,878
687163,12
1318447,28
1318447,53
1439930,28
1439930,18
1439930,80
350,18
350,35
1523145,10749
1523145,18
1198994,27
1198994,53
1198994,35
931285,28
931285,14
931285,12
1630423,28
1630423,18
1630423,10749
1266127,27
1266127,35
83533,878
83533,12
83533,14
1327819,16
1327819,12
1327819,35
1327819,10751
1327819,878
936075,10402
936075,18
1330021,18
1330021,9648
1292415,28
1292415,18
10867,18
1669050,18
1241752,18
1613798,28
1613798,53
460465,28
460465,14
460465,12
1292695,28
1292695,35
1292695,27
1426822,27
1426822,28
1314481,35
1314481,18
1290821,28
1290821,80
1290821,53
980431,16
980431,28
980431,12
980431,14
1038918,18
1038918,36
1311031,16
1311031,28
1311031,14
1084242,12
1084242,16
1084242,35
1084242,10751
1084242,9648
1235192,878
1235192,27
1235192,12
1510745,27
249397,18
249397,9648
1242898,28
1242898,878
1242898,12
1325734,10749
1325734,35
1325734,18
755898,878
755898,53
855435,27
1414413,28
1414413,53
1414413,9648
1414413,18
510657,878
510657,27
510657,18
510657,53
1419406,28
1419406,80
1419406,18
1419406,53
1171145,80
1171145,53
1579,28
1579,18
1579,36
1368166,9648
1368166,53
840464,12
840464,53
840464,878
157336,12
157336,18
157336,878
7451,28
7451,12
7451,53
7451,80
7451,18
1301421,35
1301421,10751
1301421,9648
440249,99
1173559,27
1159559,27
1159559,9648
1159559,80
976912,53
976912,80
78192,99
78192,10402
1383731,28
1383731,53
278,18
278,80
1207162,36
1207162,28
1207162,12
1207162,10752
848116,35
848116,18
848116,10751
848116,10749
184314,18
24428,878
24428,28
24428,12
458293,18
458293,10770
1265609,28
1265609,878
1265609,53
1177445,27
1177445,35
1177445,10749
502356,10751
502356,35
502356,12
502356,14
502356,16
1084577,35
1084577,28
1084577,12
299536,12
299536,28
299536,878
1317448,10749
1317448,35
441168,18
441168,10770
1641319,28
1641319,53
744275,18
744275,10749
603,28
603,878
1601797,35
1601797,10749
1316092,10749
1316092,18
1352874,27
1368337,12
1368337,28
1368337,14
1110034,27
1110034,28
1110034,53
238,18
238,80
27205,28
27205,878
27205,12
1010581,18
1010581,10749
1010581,53
1534530,27
911430,28
911430,18
1688652,18
1688652,35
609681,878
609681,12
609681,28
425274,80
425274,53
1196067,878
1196067,28
1196067,27
122,12
122,14
122,28
1336770,35
1336770,18
155,28
155,80
155,53
278986,18
1038392,27
82023,18
82023,10749
1470130,27
1470130,9648
11013,10749
11013,18
11013,35
1087040,99
1084187,10402
1084187,53
1084187,28
1084187,27
120,12
120,14
120,28
1272837,27
1272837,53
1272837,878
803796,14
803796,10402
803796,35
803796,16
1234731,12
1234731,35
1234731,27
967998,27
479787,10749
496243,35
496243,53
496243,18
